grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),9,18,0.12375366382495293,1.6472178917204334,116.67702594823005,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),10,18,0.12031053792066959,1.5692246367802505,112.83868462732629,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,2,295,0.2329101928740406,1.8553643997007712,174.24630022575974,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,3,94,0.23841349169035012,1.7650638293843899,149.00048334206159,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,4,94,0.17816549923570438,1.748077102249408,131.32877905786177,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,5,81,0.10236321989999232,1.9373154217309494,115.49683477137236,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,6,62,0.1085688116620495,1.8409695995001052,108.04842286323618,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,7,31,0.10749366119161659,1.8194382185772084,112.36434832013848,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,8,29,0.10989153131876048,1.7902184039322533,103.5221520641728,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,9,26,0.09770917580270393,1.8040679716438492,94.17837973296288,
E,Mercado + risco + concorrência + demanda,6,3,mistura_gaussiana,Mistura Gaussiana,10,21,0.10044841058490571,1.7153356010121634,90.38241432315922,
